,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
22,2015,1,Aguascalientes,1001,Aguascalientes,Aborto,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,2015,1,Aguascalientes,1002,Asientos,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
218,2015,1,Aguascalientes,1003,Calvillo,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
316,2015,1,Aguascalientes,1004,Cosío,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
414,2015,1,Aguascalientes,1005,Jesús María,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
512,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
610,2015,1,Aguascalientes,1007,Rincón de Romos,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
708,2015,1,Aguascalientes,1008,San José de Gracia,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
806,2015,1,Aguascalientes,1009,Tepezalá,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
904,2015,1,Aguascalientes,1010,El Llano,Aborto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1002,2015,1,Aguascalientes,1011,San Francisco de los Romo,Aborto,0,2,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
1100,2015,2,Baja California,2001,Ensenada,Aborto,0,1,0,3,4,2,0.0,2.0,0.0,0.0,1.0,2.0
1198,2015,2,Baja California,2002,Mexicali,Aborto,1,2,3,3,4,2,1.0,1.0,1.0,3.0,0.0,2.0
1296,2015,2,Baja California,2003,Tecate,Aborto,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
1394,2015,2,Baja California,2004,Tijuana,Aborto,0,1,0,2,1,0,0.0,1.0,0.0,2.0,2.0,0.0
1492,2015,2,Baja California,2005,Playas de Rosarito,Aborto,0,0,1,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0
1590,2015,3,Baja California Sur,3001,Comondú,Aborto,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
